head	relation	tail
Carbanak	USES	T1078
Carbanak	USES	T1036
Carbanak	USES	T1085
Carbanak	USES	T1050
Carbanak	USES	T1219
Carbanak	USES	T1089
Carbanak	USES	T1102
Dust Storm	USES	T1005
Dust Storm	USES	T1027
Dust Storm	USES	T1083
APT1	USES	T1076
APT1	USES	T1075
APT1	USES	T1119
APT1	USES	T1346
APT1	USES	T1333
APT1	USES	T1326
APT1	USES	T1334
APT1	USES	T1330
APT1	USES	T1057
APT1	USES	T1135
APT1	USES	T1087
APT1	USES	T1114
APT1	USES	T1003
APT1	USES	T1059
APT1	USES	T1007
APT1	USES	T1005
APT1	USES	T1036
APT1	USES	T1064
APT1	USES	T1002
APT1	USES	T1016
APT1	USES	T1049
APT28	USES	T1078
APT28	USES	T1199
APT28	USES	T1192
APT28	USES	T1193
APT28	USES	T1091
APT28	USES	T1105
APT28	USES	T1075
APT28	USES	T1037
APT28	USES	T1210
APT28	USES	T1119
APT28	USES	T1346
APT28	USES	T1328
APT28	USES	T1057
APT28	USES	T1114
APT28	USES	T1003
APT28	USES	T1059
APT28	USES	T1005
APT28	USES	T1064
APT28	USES	T1002
APT28	USES	T1071
APT28	USES	T1085
APT28	USES	T1140
APT28	USES	T1086
APT28	USES	T1204
APT28	USES	T1027
APT28	USES	T1083
APT28	USES	T1107
APT28	USES	T1203
APT28	USES	T1070
APT28	USES	T1090
APT28	USES	T1056
APT28	USES	T1074
APT28	USES	T1092
APT28	USES	T1099
APT28	USES	T1221
APT28	USES	T1158
APT28	USES	T1137
APT28	USES	T1173
APT28	USES	T1014
APT28	USES	T1113
APT28	USES	T1134
APT28	USES	T1068
APT28	USES	T1213
APT28	USES	T1211
APT28	USES	T1120
APT28	USES	T1040
APT28	USES	T1122
APT28	USES	T1067
APT28	USES	T1001
APT28	USES	T1025
APT19	USES	T1193
APT19	USES	T1189
APT19	USES	T1064
APT19	USES	T1016
APT19	USES	T1073
APT19	USES	T1082
APT19	USES	T1071
APT19	USES	T1132
APT19	USES	T1043
APT19	USES	T1085
APT19	USES	T1117
APT19	USES	T1060
APT19	USES	T1112
APT19	USES	T1033
APT19	USES	T1031
APT19	USES	T1140
APT19	USES	T1086
APT19	USES	T1204
APT19	USES	T1027
Honeybee	USES	T1057
Honeybee	USES	T1059
Honeybee	USES	T1005
Honeybee	USES	T1064
Honeybee	USES	T1002
Honeybee	USES	T1082
Honeybee	USES	T1071
Honeybee	USES	T1060
Honeybee	USES	T1112
Honeybee	USES	T1031
Honeybee	USES	T1140
Honeybee	USES	T1027
Honeybee	USES	T1083
Honeybee	USES	T1107
Honeybee	USES	T1088
Honeybee	USES	T1074
Honeybee	USES	T1116
Honeybee	USES	T1055
Honeybee	USES	T1022
Honeybee	USES	T1035
Honeybee	USES	T1020
Honeybee	USES	T1182
Deep Panda	USES	T1077
Deep Panda	USES	T1057
Deep Panda	USES	T1064
Deep Panda	USES	T1117
Deep Panda	USES	T1086
Deep Panda	USES	T1015
Deep Panda	USES	T1047
Deep Panda	USES	T1018
Deep Panda	USES	T1066
Deep Panda	USES	T1100
Rancor	USES	T1193
Rancor	USES	T1105
Rancor	USES	T1059
Rancor	USES	T1064
Rancor	USES	T1071
Rancor	USES	T1204
Rancor	USES	T1053
Rancor	USES	T1218
APT32	USES	T1078
APT32	USES	T1192
APT32	USES	T1193
APT32	USES	T1189
APT32	USES	T1077
APT32	USES	T1105
APT32	USES	T1097
APT32	USES	T1075
APT32	USES	T1017
APT32	USES	T1087
APT32	USES	T1003
APT32	USES	T1059
APT32	USES	T1036
APT32	USES	T1064
APT32	USES	T1002
APT32	USES	T1016
APT32	USES	T1049
APT32	USES	T1073
APT32	USES	T1082
APT32	USES	T1071
APT32	USES	T1043
APT32	USES	T1117
APT32	USES	T1060
APT32	USES	T1112
APT32	USES	T1033
APT32	USES	T1031
APT32	USES	T1086
APT32	USES	T1204
APT32	USES	T1027
APT32	USES	T1083
APT32	USES	T1107
APT32	USES	T1053
APT32	USES	T1203
APT32	USES	T1070
APT32	USES	T1047
APT32	USES	T1045
APT32	USES	T1018
APT32	USES	T1050
APT32	USES	T1041
APT32	USES	T1065
APT32	USES	T1099
APT32	USES	T1158
APT32	USES	T1137
APT32	USES	T1068
APT32	USES	T1100
APT32	USES	T1012
APT32	USES	T1046
APT32	USES	T1022
APT32	USES	T1094
APT32	USES	T1009
APT32	USES	T1170
APT32	USES	T1035
APT32	USES	T1096
APT32	USES	T1222
APT32	USES	T1216
APT39	USES	T1078
APT39	USES	T1192
APT39	USES	T1193
APT39	USES	T1021
APT39	USES	T1076
APT39	USES	T1003
APT39	USES	T1064
APT39	USES	T1002
APT39	USES	T1016
APT39	USES	T1060
APT39	USES	T1033
APT39	USES	T1204
APT39	USES	T1053
APT39	USES	T1045
APT39	USES	T1023
APT39	USES	T1090
APT39	USES	T1100
APT39	USES	T1046
PLATINUM	USES	T1193
PLATINUM	USES	T1189
PLATINUM	USES	T1105
PLATINUM	USES	T1003
PLATINUM	USES	T1036
PLATINUM	USES	T1204
PLATINUM	USES	T1095
PLATINUM	USES	T1056
PLATINUM	USES	T1068
PLATINUM	USES	T1055
PLATINUM	USES	T1179
PLATINUM	USES	T1094
Lazarus Group	USES	T1193
Lazarus Group	USES	T1189
Lazarus Group	USES	T1077
Lazarus Group	USES	T1076
Lazarus Group	USES	T1105
Lazarus Group	USES	T1057
Lazarus Group	USES	T1003
Lazarus Group	USES	T1059
Lazarus Group	USES	T1005
Lazarus Group	USES	T1064
Lazarus Group	USES	T1002
Lazarus Group	USES	T1016
Lazarus Group	USES	T1082
Lazarus Group	USES	T1071
Lazarus Group	USES	T1132
Lazarus Group	USES	T1043
Lazarus Group	USES	T1060
Lazarus Group	USES	T1033
Lazarus Group	USES	T1204
Lazarus Group	USES	T1027
Lazarus Group	USES	T1083
Lazarus Group	USES	T1107
Lazarus Group	USES	T1203
Lazarus Group	USES	T1047
Lazarus Group	USES	T1023
Lazarus Group	USES	T1090
Lazarus Group	USES	T1098
Lazarus Group	USES	T1056
Lazarus Group	USES	T1074
Lazarus Group	USES	T1110
Lazarus Group	USES	T1050
Lazarus Group	USES	T1041
Lazarus Group	USES	T1065
Lazarus Group	USES	T1099
Lazarus Group	USES	T1158
Lazarus Group	USES	T1134
Lazarus Group	USES	T1067
Lazarus Group	USES	T1048
Lazarus Group	USES	T1012
Lazarus Group	USES	T1055
Lazarus Group	USES	T1089
Lazarus Group	USES	T1022
Lazarus Group	USES	T1124
Lazarus Group	USES	T1032
Lazarus Group	USES	T1223
Lazarus Group	USES	T1008
Lazarus Group	USES	T1010
Lazarus Group	USES	T1487
Lazarus Group	USES	T1485
Lazarus Group	USES	T1488
Lazarus Group	USES	T1489
Lazarus Group	USES	T1024
Lazarus Group	USES	T1026
Lazarus Group	USES	T1496
Cleaver	USES	T1313
Cleaver	USES	T1342
Cleaver	USES	T1345
Cleaver	USES	T1341
Cleaver	USES	T1003
Sowbug	USES	T1135
Sowbug	USES	T1003
Sowbug	USES	T1059
Sowbug	USES	T1036
Sowbug	USES	T1002
Sowbug	USES	T1082
Sowbug	USES	T1083
Sowbug	USES	T1056
Sowbug	USES	T1039
menuPass	USES	T1078
menuPass	USES	T1199
menuPass	USES	T1193
menuPass	USES	T1021
menuPass	USES	T1076
menuPass	USES	T1105
menuPass	USES	T1087
menuPass	USES	T1003
menuPass	USES	T1059
menuPass	USES	T1005
menuPass	USES	T1036
menuPass	USES	T1064
menuPass	USES	T1002
menuPass	USES	T1016
menuPass	USES	T1049
menuPass	USES	T1073
menuPass	USES	T1140
menuPass	USES	T1086
menuPass	USES	T1204
menuPass	USES	T1027
menuPass	USES	T1107
menuPass	USES	T1053
menuPass	USES	T1047
menuPass	USES	T1090
menuPass	USES	T1018
menuPass	USES	T1056
menuPass	USES	T1074
menuPass	USES	T1038
menuPass	USES	T1046
menuPass	USES	T1022
menuPass	USES	T1039
menuPass	USES	T1093
APT17	USES	T1331
APT17	USES	T1342
APT17	USES	T1341
Gorgon Group	USES	T1193
Gorgon Group	USES	T1105
Gorgon Group	USES	T1059
Gorgon Group	USES	T1064
Gorgon Group	USES	T1060
Gorgon Group	USES	T1112
Gorgon Group	USES	T1140
Gorgon Group	USES	T1086
Gorgon Group	USES	T1204
Gorgon Group	USES	T1023
Gorgon Group	USES	T1065
Gorgon Group	USES	T1055
Gorgon Group	USES	T1089
Gorgon Group	USES	T1093
Gorgon Group	USES	T1106
FIN10	USES	T1078
FIN10	USES	T1076
FIN10	USES	T1105
FIN10	USES	T1064
FIN10	USES	T1060
FIN10	USES	T1033
FIN10	USES	T1086
FIN10	USES	T1107
FIN10	USES	T1053
Stolen Pencil	USES	T1078
Stolen Pencil	USES	T1192
Stolen Pencil	USES	T1076
Stolen Pencil	USES	T1003
Stolen Pencil	USES	T1056
Stolen Pencil	USES	T1081
Stolen Pencil	USES	T1108
Stolen Pencil	USES	T1040
Stolen Pencil	USES	T1176
Dark Caracal	USES	T1194
Dark Caracal	USES	T1189
Dark Caracal	USES	T1005
Dark Caracal	USES	T1064
Dark Caracal	USES	T1071
Dark Caracal	USES	T1060
Dark Caracal	USES	T1204
Dark Caracal	USES	T1027
Dark Caracal	USES	T1083
Dark Caracal	USES	T1045
Dark Caracal	USES	T1113
Dark Caracal	USES	T1223
MuddyWater	USES	T1193
MuddyWater	USES	T1105
MuddyWater	USES	T1175
MuddyWater	USES	T1057
MuddyWater	USES	T1003
MuddyWater	USES	T1059
MuddyWater	USES	T1036
MuddyWater	USES	T1064
MuddyWater	USES	T1002
MuddyWater	USES	T1016
MuddyWater	USES	T1082
MuddyWater	USES	T1085
MuddyWater	USES	T1060
MuddyWater	USES	T1033
MuddyWater	USES	T1140
MuddyWater	USES	T1086
MuddyWater	USES	T1204
MuddyWater	USES	T1027
MuddyWater	USES	T1083
MuddyWater	USES	T1088
MuddyWater	USES	T1047
MuddyWater	USES	T1090
MuddyWater	USES	T1081
MuddyWater	USES	T1173
MuddyWater	USES	T1113
MuddyWater	USES	T1063
MuddyWater	USES	T1191
MuddyWater	USES	T1500
MuddyWater	USES	T1170
CopyKittens	USES	T1002
CopyKittens	USES	T1085
CopyKittens	USES	T1086
CopyKittens	USES	T1116
CopyKittens	USES	T1022
Threat Group-1314	USES	T1078
Threat Group-1314	USES	T1077
Threat Group-1314	USES	T1072
Threat Group-1314	USES	T1059
Cobalt Group	USES	T1192
Cobalt Group	USES	T1193
Cobalt Group	USES	T1076
Cobalt Group	USES	T1105
Cobalt Group	USES	T1037
Cobalt Group	USES	T1059
Cobalt Group	USES	T1064
Cobalt Group	USES	T1071
Cobalt Group	USES	T1117
Cobalt Group	USES	T1060
Cobalt Group	USES	T1086
Cobalt Group	USES	T1204
Cobalt Group	USES	T1027
Cobalt Group	USES	T1107
Cobalt Group	USES	T1053
Cobalt Group	USES	T1203
Cobalt Group	USES	T1088
Cobalt Group	USES	T1050
Cobalt Group	USES	T1108
Cobalt Group	USES	T1173
Cobalt Group	USES	T1068
Cobalt Group	USES	T1219
Cobalt Group	USES	T1055
Cobalt Group	USES	T1046
